"Question","Answer"
"What is a harmonized or HS code?","A harmonized code is part of an internationally standardized system of names and numbers for classifying traded products these codes are developed and maintained by the World Customs Organizations WCO. This system allows all countries to be on the same page when classifying products before export and import. Harmonized codes may be referred to in more than one way, depending on where the shipment is going and who is responsible for it for example, theyre also known as HC, HTS, commodity code or tariff, depending on the country. Finding the correct commodity code is crucial for importers and exporters all over the world. It not only helps to identify what kind of products are being shipped, but it also plays a vital role in the taxation systems and controls. Heres how the HS code is shown and a few other key points The first 6 digits are the same in 183 countries The remaining digits are generally country-specific and define tax or preferential rates European export declarations generally require 8 digits European import declarations generally require 10 digits U.S. declarations require 10 digits The description of the goods defines the HS code The HS code, along with value and currency determines duty and tax rates FedEx International Shipping Assist Lite helps you to quickly and accurately identify the Harmonised System HS code for your international shipments."
"What is an EORI number?","EORI number is short for Economic Operators Registration and Identification Number and is a system of unique identification numbers used by customs authorities in the EU and U.K. You can obtain an EORI number from your countrys customs website and you must include this number on the commercial invoice."
"What is a MID code?","MID code is short for Manufacturers Identification code and must be shown on the commercial invoice. Its used as an alternative to the full name and address of a manufacturer, shipper or exporter and is always required for U.S. formal customs entries. The MID code is used on paperwork presented to U.S. Customs and Border Protection CBP, the U.S. Food and Drug Administration FDA, the U.S. Department of Agriculture USDA and the goods recipient."
"When do I need an export licence?","Most products do not need an export licence. However, you may need to obtain an export licence or follow special rules in order to export certain types of goods that fall under restrictions due to potential uses or security concerns. Please note that you should always check our list of prohibited goods before shipping. Products most likely to need a licence include, but are not limited to Animals, plants, agricultural and food products Goods originating from endangered species Chemicals Medicines Controlled goods generally military items and items that may have a dual-purpose military and civil use Goods with a cultural or historic value Diamonds Goods subject to sanctions or trade defence measures by certain countries To find out if you need an export licence, check the export control lists on your countrys government website. You will also need to include the licence number on your commercial invoice and pre-alert the FedEx Clearance team by contacting FedEx Customer Service. Additional restrictions may apply depending on the country youre shipping from or to. If youre not sure if you can ship a particular product internationally, contact FedEx Customer Service for more information."
"Do I need a certificate for Port Health?","In the U.K. and many other countries, Port Health is the name of the authority tasked with protecting public, environmental and animal health. This authority carries out various health controls at the borders. If your goods are edible or used in food and drink, you may need to provide extra documents for the Port Health or the countrys equivalent this is to ensure your goods can be cleared. Any goods that could pose a health threat are likely to need a certificate. The types of certificates you may need to include Organic certification Phytosanitary certificate Sanitary certificate."
"Why are accurate goods descriptions so important?","Inaccurate goods descriptions on the commercial invoice are one of the main reasons for shipments being delayed or held by customs authorities. The description of your goods, along with the country of origin and the Harmonised System HS code, helps the authorities to identify exactly what the product is and determine what import controls are needed, and calculate the duties and taxes. FedEx International Shipping Assist Lite helps you to quickly and accurately identify the Harmonised System HS code for your international shipments. By providing a full and accurate description on your commercial invoice, you can reduce the risk of your shipment being held at customs and paying more duties and taxes than you should."
"What does free circulation mean in Europe?","Goods that enter the customs territory of the EU from a non-EU country are referred to as non-community goods. Before these goods can be marketed within the EU, they need to be released into free circulation. This means that a customs entry should be raised for the goods and a duty andor VAT should be paid. Once these conditions have been met, the non-community goods will become community goods. They will get the same status as goods that have been produced, harvested or mined within the EU and can be transported freely throughout the EU."
"How do I ship personal goods?","Before importing personal goods i.e. goods that are your property and not for sale, its important to know that some countries may restrict the movement of personal goods and have strict conditions. When importing personal goods, you may be able to claim duty and tax relief based on the goods that are for your own use, owned by you and not being sold. An example would be when a student studying overseas or a person moving to a different country needs to move their own personal effects. Its important to mark the commercial invoice and air waybill with personal effects and include a reason for export, contact details, and an accurate description of the goods. Our Clearance team is likely to contact the receiver to confirm the information and apply the correct import relief, if applicable."
"How can I import a shipment?","Importing goods requires specific codes, paperwork and permits. You also need to be aware of the different customs procedures and pay the necessary duties and taxes. First, check if the goods youre importing are allowed in the country this information can be found on the customs website of the country youre shipping to. Then you need to have the following documents and codes Customs declaration Certificate of origin the sender may need to provide this Import license if necessary Air waybill Commercial invoice EORI number EU shipments For private, personal and commercial import shipments, FedEx can take care of the entry process on your behalf. The tariff code, duty and VAT will be based on the description and value of the goods. For more information on how to import goods, head over to Shipping Channel."
"What types of packages can be dropped off at retail locations?","A prelabeled FedEx package can be dropped off at a specific retail locationif The dimensions are within 90 cm x 60 cm x 60 cm It weighs less than 15 kg The declared value for carriage is less than 75 Its not a multi-piece shipment Its not a prohibited or dangerous item You can find a list of prohibited items that cant be dropped off at retail locationshere."
"Can I ship without a FedEx account number?","Yes. FedEx Ship Manager Lite allows you to send a single package internationally and pay with your credit card without an account number. However, if youre shipping more than one box to the same recipient or more than three separate shipments to different recipients a day, then you will need an account number to ship with FedEx Ship Manager at fedex.com."
"What is the difference between a document and non-document (product) shipment?","A document shipment includes paper of little or no commercial value and usually doesnt require a commercial invoice. Business correspondence is a good example of a document shipment. In general, printed forms and paper may be classified as documents. A non-document or product shipment defines all other shipments of value and they generally require a commercial invoice. Clothing, sports equipment and automobile parts are examples of non-document and product shipments."
"Do I need a packing list?","It depends on the country youre shipping to some countries require a packing list as well as a commercial invoice. A packing list is a document provided by the shipper with details of the goods contained within the shipment and how theyre packed. It includes carton numbers, the number of items within the cartons and the weight and dimensions of the cartons. The packing list allows everyone involved in the process to check what theyre shipping at different stages of the journey. Its also used by customs for clearance and entry into some countries to prove the shipments contents match the details on the commercial invoice."
"When do I need to supply Safety Data Sheets (SDS)?","If youre shipping anything hazardous, its often mandatory to provide a Safety Data Sheet SDS this document identifies and classifies the potential hazardrisk to people or the environment. It also provides information about handling and storage, along with instructions about how to respond in the event of an emergency, such as what first aid to administer or how to extinguish a fire."
"What is the dangerous goods surcharge?","The dangerous goods surcharge is a fee for shipping certain regulated dangerous substances and materials. The applicable surcharge depends on the type of dangerous goods that are shipped. FedEx Express Dangerous Goods Services allow the shipping of regulated dangerous substances and materials including door-to-door delivery and customs clearance. For more information on how to ship dangerous goods, visit the Shipping Channel."
"Can I send prescription drugs to the United States?","You cant ship prescription drugs to the U.S. unless its been approved by the Food and Drug Administration FDA. However, there are a few exceptions. In general, prescription drugs made and exported from the U.S. can only be returned to the U.S. manufacturer. In some cases, a small amount of prescription drugs can be imported into the U.S. if they adhere to FDA regulations. If you meet the requirements, you need to include the following information on the commercial invoice A valid copy of the doctors prescription Complete name, address and phone number of the recipients licensed treating physician Name and address of the drug manufacturer Form of medicine tablets, capsules, liquid etc. Quantity Type of packaging Type of medical condition being treated If the medication can be purchased at the destination Dosage strength Copy of passport if the recipient is a non-resident Bear in mind youre limited to just a 90-day supply of imported prescription drugs."
"Can I ship lithium batteries?","Yes however, when shipping or importing lithium batteries, including those contained in or packed with devices and equipment, you need to adhere to packing and marking requirements as per dangerous goods regulations. Find out more at /shipping/dangerous-goods."
"What does status 'In transit' mean?","In transit means that your package is on its way to its final destination. It does not necessarily mean that your package is in a moving vehicle such as an aircraft or truck. It may be at a FedEx facility."
"What is an air waybill (AWB)?","An air waybill, also known as a consignment note, dispatch note or waybill, is a contract between the shipper and the carrier. It provides key information for the shipper and is also used for tracking the shipment and contains barcodes to identify the shipment electronically. For more information, visit Shipping Channel."
"How can I track my parcel without a tracking number?","If you dont have a tracking number, you can track your packages online using your reference number."
"Can I get a proof of delivery?","You can get a proof of delivery letter over on fedex.com all you need to do is enter your air waybill number. You can also get a signed proof of delivery letter which includes a signature image and shipment information. Here are a few things to keep in mind when requesting a signed proof of delivery letter Signed proof of delivery letters, including the signature image and shipment information, are available for up to 18 months with FedEx Express You can request up to 30 signed proof of delivery letters at once. However, the fax option is not available for multiple letters. If you have a nine-digit FedEx account number, you can get a signed proof of delivery letter with all the details of the shipment. If available, this information includes the full name, company name, street address, city, stateprovince, ZIP, and country of both the shipper and recipient. If you dont have a nine-digit FedEx account number, you can still get a signed proof of delivery letter but it will display limited information about the shipment. If no signature is available, you can still view, print, email and fax the available proof of delivery information. If there is still no signature available after seven business days, please contact us. A signature may be unavailable if the sender or recipient signed a signature release agreement."
"How do I cancel a pickup?","You can cancel an arranged pickup before it occurs on FedEx Ship Manager or FedEx Ship Manager Lite. Alternatively, you can contact our Customer Service team for assistance."
"Can I refuse to accept an international package?","As a customer you have the right not to accept an international package if, for example, it was damaged, you cancelled your order or you changed your mind. If you refuse to accept an international package, the FedEx driver may ask you for a signed confirmation of your refusal. The driver will then take the package back to the delivery depot. We will contact your shipper to inform them of your decision and ask them whether the shipment needs to be returned or destroyed. Keep in mind that you might still need to pay duties and taxes for importing a package. You can try to claim a refund on these duties and taxes directly with customs. Find more information on how to claim a refund on duties and taxes on your countrys customs website."
"What happens when no one is at my home or office to accept a shipment?","If no one is available to accept your shipment at the delivery address, your driver will leave a door tag. Check the door tag to see if we delivered your package to a neighbouring address or for the tracking information and the date of the next delivery attempt. If youre able to redirect your package, youll receive an SMS or email with the different delivery options available. Please select one of these options by 0400 am on the day of the delivery to give our drivers enough time to redirect your package. Alternatively, you can also provide a signed confirmation that authorizes FedEx to leave your package at a safe spot if youre not at the delivery address. Its important to note that dangerous goods shipments cant be left on the receivers doorstep. A physical handover is required for these types of shipments due to safety and security reasons."
"Can I change the delivery address of my package?","If youre the shipper, you can change the delivery address for most shipments online by logging in to your FedEx shipping account. Alternatively, you can request to hold the shipment at a FedEx location for pickup instead of delivery. The receiver will just have to take a valid form of identification with them. If you choose to change the delivery address, FedEx can only accept your request if There are no restrictions to changing addresses on your account The new address is not in another country The shipment hasnt been delivered yet If youre the receiver, you can change the delivery address by getting in touch with the shipper, who will have to authorize the change. However, you cant change the delivery address for dangerous goods shipments for safety and security reasons. They can be held at a pickup point in the same service area as the original address or returned to the shipper. Dry ice UN 1845 is the only exception and shipments containing it may be rerouted. Bear in mind that additional restrictions and fees may apply when rerouting packages. Rerouting isnt always possible because we cant physically change the original air waybill attached to the shipment. FedEx Money Back Guarantee also doesnt apply to shipments where the delivery address was changed."
"How much does a shipment cost?","The cost of a shipment is based on its content, weight, size, origin, destination and chosen shipping service. The exact cost of your shipment will be calculated when you provide these details in the booking system. FedEx may verify the weight and volume of your shipment. Please bear in mind that if the information provided by the sender is incorrect, FedEx may make adjustments to the invoice and will be entitled to charge a special handling fee. Also note that certain additional surcharges may apply to shipments that are, for example, non-stackable i.e. cannot be stacked due to its shape, contents or packaging or not packed correctly. If the non-stackable surcharge is applied, FedEx isnt obliged to prove that any particular shipment was non-stackable. Your shipment cost can also depend on whether or not you have a FedEx shipping account. Shippers with an account often receive discounts. To book a shipment and get a more accurate breakdown of the costs, head to thispage."
"What is a commercial invoice and how do I fill it in?","A commercial invoice is a contract of sale or a transaction of sorts between the shipper and the receiver. It provides key information for customs to clear your goods and determine any government charges such as duties and taxes. Every international shipment, except most document shipments, must have a commercial invoice, preferably printed on paper with a company letterhead. Alternatively, you can use Electronic Trade Documents ETD to upload or create your commercial invoice electronically, so you dont need to print it off please note this feature is country permitting. The information on the invoice must be in English and include company details such as the address, contact details and tax number. The shipper will also need to include the same details about the receiver. Other details to include Reason for export Shipping date and airway billorder number Incoterms Goods description Quantity of goods per item HS code Declared value of goods per item Insurance costs Country of origin Weight Finally, you must sign it and include your position within the company."
"I believe the shipper paid for all charges relating to this shipment, so why have I been charged?","The shipper states who will pay the duties, taxes and other charges using the appropriate Incoterms they state this on the air waybill and commercial invoice. FedEx follows this instruction and may have charged you if it was indicated that the receiver pays the duties, taxes and other charges. If you believe that the shipper should pay these charges, you will need to discuss this with them. The shipper must ensure their instructions are correct and clearly indicated on the paperwork for future shipments."
"Who pays duties and taxes?","Generally, there are two options. The first option is for the receiver to pay the authorities directly for any duties and taxes, usually when the shipment is imported. VAT in some countries can be deferred or postponed depending on the import country revenue procedure. Duty is usually paid to the authorities at the time of import except for specific customs procedures authorized in advance. The second option is for FedEx to pay the authorities on behalf of the recipient. This is generally paid using our own deferment account which operates similar to a bank account with a direct payment to the authorities. FedEx will then invoice the receiver for this payment with a disbursement fee for the service. Please note that duties and taxes will be charged to the recipient by default, unless the shipper marks the Bill Shipper option on the air waybill at the time of shipping. Also note that if the recipient declines the shipment or refuses to pay, the shipper is ultimately liable for any duties and taxes assessed on the shipment."
"I forgot my account number, what is it?","Your account number is the nine-digit number on the top right corner of your invoice. If you dont have any invoices handy or you cant view them on FedEx Billing Online, please contact us. A FedEx representative will go through some security steps with you before providing your account number."
"Can I request a refund if the delivery was late?","If we didnt deliver your package on time, you may be able to request a refund or an adjusted invoice. FedEx offers a money-back guarantee for certain transportation services subject to the FedEx Express Terms and Conditions of Carriage. This money-back guarantee can be suspended, modified or revoked by FedEx at any time and without prior notice. Details on the current status of the money-back guarantee are available on the FedEx website."
"Where can I make a complaint?","You can directly submit a complaint on our contact us page."
"Why would a package be held in customs?","Shipments are held in customs to ensure they satisfy export or import customs regulations. A held shipment may have missing or incomplete paperwork, be waiting for clearance instructions or the authorities may need more information to clear the goods. Until we can provide all the information to the authorities, we cannot process the shipment for clearance. If you have chosen to use your own customs broker, then your broker will handle this for you. If your package is held at customs, FedEx will contact you for more information."
"How are duties and taxes applied?","Duty and tax is dependent on the Harmonized System HS code and the country of origin. Generally, tax is a percentage of the value of the goods with designated goods rated zero in some countriesterritories. In general, calculations are based upon the goods description provided on the commercial invoice and its HS code. However, other factors such as origin and reason for import may contribute to the overall value and percentage of duty and tax applied. Some commodities are subject to other charges such as excise duty, which is an additional tax based on quantity and applies to goods like alcohol, tobacco and oil. Goods subject to trade defense measures and other restrictions may also incur extra charges."
"How do I calculate duties?","Duty is calculated against the value of the shipment contents declared on the commercial invoice together with any insurance and transportation costs. Together these are known as the Customs Value. This value is then multiplied by the duty percentage of the HS code assigned to the goods."
"How do I calculate estimated Duties and Taxes?","Our FedEx Global Trade Manager and the Document Preparation Center provide you with a one-stop resource for international shipping information, including how to calculate estimated Duties and Taxes. Estimated Duties and Taxes are based on invoice value, customs valuation Incoterms as per local customs rules."
"What is a Disbursement Fee/Advancement Fee/Duty Handling Fee?","FedEx can pay the duty and tax charges on your behalf to ensure delivery of your shipment as quickly as possible. As part of our ancillary charges, the service incurs an administration fee, also known as a Disbursement Fee Advancement Fee Duty Handling Fee. Visit ourancillary clearance service feespage to learn more about charges at the destination countryterritory."
"I paid my duty and tax charges before delivery, why have you still charged me?","Tax is generally applied by the authorities at the time of import. If you paid the tax to your supplier and this is not clearly indicated on the paperwork supplied by the shipper, then FedEx will not be aware of your payment. You need to work with your supplier to ensure the shipper is selecting the correct duty tax payment option when they create the air waybill so the shipper can pay the duty and tax and it will not be charged to the consignee."
"Are duties and taxes applicable if I purchase my goods online?","The prices advertised on websites often do not include duty or tax. This can make products appear cheaper when compared to the local prices. So be aware and watch out for any additional charges at the time of import."
"Does FedEx provide customs clearance services/ancillary services?","Yes, FedEx acts as an intermediary between the customer and the customs authorities throughout the customs clearance process, unless instructed otherwise, and provides support when things get complicated. For example, if your shipment has specific requirements for clearance, we can help you find the right solution. Our customs clearance services vary by countryterritory depending on local permits, regulations and processing. Please note that the customs charges are billed to the recipient or designated third party in the market or destination."
"How can I get a copy of the customs paperwork for my shipment?","You can log in to FedEx Billing Online using your fedex.com User ID to get a soft copy of the customs paperwork for your shipment, or you may contact us."
"What are certificates of authorization?","If youre importing goods that contain intellectual property, such as brands, images or characters, you may need proof that your manufacturer has made these goods with the appropriate permission. Certificates of authorization are often in the form of letters from the owners of the intellectual property rights. If you dont provide a certificate, your goods may be confiscated by customs, and you could be fined."
"What documents are required for customs clearance?","The main documents you need for customs clearance are the commercial invoice and the air waybill. You may need additional documents depending on the origin, destination and commodity of the shipment, these include Certificate of origin ExportImport licensepermit Visit our Customs Clearance page for more information about what kind of documents you need."
"I tracked my shipment, and it appears there is a customs or clearance delay. What should I do?","Customs and clearance delays occur for a variety of reasons. In general, clearance delay information is available from the detailed tracking page, including the reason for the delay and recommended action. If additional information is required from the shipper or recipient, FedEx will attempt to contact them."
"How do I find a FedEx location near me?","Visit our location pageto find a FedEx location near you."
"How do I get proof of the delivery from FedEx?","Go to FedEx Tracking, enter your 12-digit tracking number and click Track Click OBTAIN PROOF OF DELIVERY, enter the 9-digit shipper or payer FedEx account number associated with the shipment, then view PDF. Please note that during the pandemic, delivery signature might not be available to minimize contact with our customers."
"Do I need a FedEx account to ship?","To ship using our online shipping tool, you need to have a valid FedEx account and a fedex.com User ID. Please follow the steps below to open a FedEx account Go to the Open a FedEx Account page. Select your preferred account type that meets your shipping requirements. Follow the steps and complete the required fields."
"How do I order FedEx Supplies?","Visit our How to order supplies guidance in our New Customer Center for tips and steps on how to order FedEx supplies. Or you may order our supplies directly in our Supplies Request Form."
"How can I get a copy of my shipment's air waybill?","You can contact us to obtain a soft copy of your shipments air waybill."
"How do I cancel a shipment?","The shipping air waybill can be cancelled 12 hours upon creation or before the ship date is printed on the air waybill. You will not be billed for transportation charges if you do not use the shipping air waybill. Follow the steps below to cancel a shipment Access our online shipping tool. You will be asked to log in if you have not already done so. On the new FedEx Ship ManagerTM, click on the Shipment tab on the left navigation bar. Select the three vertical dots next to the shipment you want to cancel. Click the Cancel button. If you ordered a pickup for the shipment, please also cancel the pickup."
"How do I reprint my air waybill?","Using the steps below, you may reprint a shipment air waybill within 12 hours from when you created the air waybill or until midnight of the day you created the air waybill. Access our online shipping tool. You will be asked to log in if you have not already done so. On the new FedEx Ship ManagerTM, click on the Shipment tab on the left navigation bar. Select the three vertical dots next to the shipment you want to reprint the air waybill. Click the Reprint button."
"What is dimensional weight?","Dimensional weight is the amount of space a package occupies in relation to its actual weight."
"Can I change the service type or delivery time of a package after it is shipped?","Unfortunately, it is not possible to change the type of a shipments service once it has been shipped. If you are a shipper, you can visit our Customize Delivery Options in our New Customer Center for tips and steps to customize your delivery options."
"What are dangerous goods?","Dangerous goods are items or substances that, if not handled or packed properly, could pose a risk to health, safety, property or the environment. Dangerous goods are divided into nine classes, plus a few sub-classes. The class your product falls under will affect how you pack, label and transport it. If youre not sure whether or not the items youre shipping are dangerous goods, ask your manufacturer or supplier for a Safety Data Sheet SDS. Visit our dangerous goods page to find out more."
"Does FedEx offer delivery on Saturday?","Yes, Saturday delivery service is available in some markets. If the service is available, you can select the Saturday Delivery option when preparing your shipments with our online shipping tool. To get an estimated delivery time for a specific package, use our Rates Transit Time Tool."
"How do I check the status of my package?","Go to FedEx Tracking, enter your 12-digit tracking number and click Track To learn more about how to track your shipment, visit FedEx Tracking Quick Help."
"How do I calculate dimensional weight of a package?","Dimensional weight is determined by multiplying the centimeter length by height by width of your package and dividing it by the dimensional weight divisor as specified by FedEx."
"How much does it cost to ship a package internationally?","To get a quote for a specific package, use our Rate Tool."
"Is there any extra cost to change the delivery address of my package?","If you are a shipper, when you prepare your shipment you can enable the FedEx Delivery Manager service to allow your overseas customers to customize and change their delivery date andor location at no extra cost. Once this is enabled, your customers will receive a notification via email andor SMS and can request a change. Please note that this option is not applicable if your shipment is addressed to a company with the company name specified on the air waybill. You may change the delivery address of your export shipment within the same city, but if you request to redirect your shipment from one city to another city, additional shipping charges will be applied. Change of delivery address for an export shipment is an exception service, and we cannot assure its execution. Terms and Conditions apply."
"How can I get a copy of my invoice?","You can log in to FedEx Billing Online using your fedex.com User ID to get a soft copy of your invoice, or you may contact us."
"I received a reminder for an invoice I already paid. What do I do?","You can contact us and provide the below information Payer name Payment method Payment date Invoice numbers Invoice amounts Total payment amount."
"What is FedEx billing online?","Visit Billing Online to learn all you need to know about the FedEx billing process."
"Who has to pay duties and taxes?","Generally, there are two options to pay the authorities. The first option is for the receiver to pay the authorities directly for any duties and tax, usually due at the time of import. Payment can be deferred or postponed in some countriesterritories depending on the import countryterritory revenue procedure or declaration type. Duty tax must be paid at the time of import to the authorities except for special procedures authorized by customs. The second option is for FedEx to pay the duty and tax to the authorities on behalf of the receiver. We then invoice the receiver for this payment including an advancementdisbursementhandling service fee."
"How do I close my FedEx account?","Please follow the steps below to close a FedEx account Settle all outstanding invoices if any Provide a letter of authorization LOA on a company letterhead if applicable that includes the following FedEx account number Submission date of the request Reasons for the request Effective date of account termination Name of authorized person with signature Official company stamp for corporate accounts only You may contact uswith your request."
"How do I find my FedEx account number?","Your FedEx account number is a nine-digit number you can find it through the Account Management in My Profile after you log in to fedex.com. Or you may contact us for assistance."
"Can I get a refund if the delivery was late?","If a shipment is delayed, you can contact us for an evaluation as to whether or not your delivery qualifies for a refund."
"How can I get an update on my claim?","You will receive acknowledgement of your claim submission and regular updates on your claim after you file a claim and email it to us. You can also visit our Make a Claim for a Lost or Damaged Shipment in our New Customer Center for tips and steps on how to make a claim."
"How long does the claim process take?","Unless additional time for investigation is required, most cases including claim payout, will be resolved within 7-21 business days after receiving the claim form and additional documentation."
"As a student, what is the best way for me to get information about FedEx?","Visit About FedEx to learn about FedEx history and get more information about us."
"How can I learn about FedEx career opportunities?","Visit our careers page to learn about the culture at FedEx and check for career opportunities."
"How can I pay a FedEx Express invoice?","You can make a payment to FedEx using different payment options like fund transfer or a credit card."
"If the goods are second-hand, do I need to pay duties and taxes?","You may still have to pay duties and taxes on second-hand goods however, if the goods are classified as antiques or original pieces of art, you could benefit from reduced VAT depending on the national regulations and if your goods meet the correct criteria. A statement confirming the type of artwork and date it was created is often needed on the invoice or additional paperwork. Check the customs website of the country youre shipping to see if your goods meet the criteria."
"If I purchase my goods online, are duties and taxes applicable?","If duties and taxes are applicable at the time of import, they will be charged regardless of how the goods were purchased. When buying online, you need to be aware of the sale terms and conditions of the seller, and that the prices advertised on websites often do not include duty or tax. This can make products appear cheaper when compared to the country prices, so be aware and watch out for any freight, duties, taxes and other added charges at the time of import on top of the item price."
